,제목,가격,판매지수,출판년월,연도,월
134,향기로운 꽃은 늠름하게 핀다 19 더블특전판,5400,"판매지수 80,754",2026-04-01,2026,4
135,손절사회,18900,"판매지수 10,629",2026-04-01,2026,4
136,세종의 나라 1,19800,"판매지수 76,269",2026-02-01,2026,2
137,만능문장으로 끝내는 토익스피킹 시계토끼 올인원 기본서,19980,"판매지수 45,279",2025-12-01,2025,12
138,다크 심리학,19710,"판매지수 251,850",2025-07-01,2025,7
139,작별하지 않는다,15120,"판매지수 165,768",2021-09-01,2021,9
140,꽃을 보듯 너를 본다,11700,"판매지수 104,046",2015-06-01,2015,6
141,자본주의,19800,"판매지수 88,923",2013-09-01,2013,9
142,동물농장,7200,"판매지수 75,063",2001-02-01,2001,2
143,디그 잇 2 더블특전판,6300,"판매지수 12,690",2026-05-01,2026,5
144,색연필로 피어나는 열매와 꽃 그림 컬러링북,16200,"판매지수 2,130",2026-05-01,2026,5
145,네가 어떤 삶을 살든 나는 너를 응원할 것이다 2,17100,"판매지수 9,240",2026-05-01,2026,5
146,열혈강호 95,4950,"판매지수 41,574",2026-04-01,2026,4
147,다만 너이기 때문에,16200,"판매지수 10,452",2026-04-01,2026,4
148,세종의 나라 2,19800,"판매지수 72,123",2026-02-01,2026,2
149,너를 미워할 시간에 나를 사랑하기로 했다,16920,"판매지수 159,084",2024-11-01,2024,11
150,너에게 들려주는 단단한 말,16200,"판매지수 157,131",2024-07-01,2024,7
151,뿐이 토핑 이유식,26820,"판매지수 76,266",2024-03-01,2024,3
152,총 균 쇠,26820,"판매지수 127,920",2023-05-01,2023,5
153,바깥은 여름,14400,"판매지수 75,486",2017-06-01,2017,6
154,아름다운 초저녁달 10,5400,"판매지수 20,460",2026-05-01,2026,5
155,딱 1년만 미쳐라,17820,"판매지수 52,017",2026-03-01,2026,3
156,빅터 프랭클의 죽음의 수용소에서,10800,"판매지수 48,375",2026-01-01,2026,1
157,11일에 완성하는 서경석의 다이어트 한국사능력검정시험 심화(1·2·3급),18000,"판매지수 41,109",2026-01-01,2026,1
158,어른의 품격을 채우는 100일 필사 노트,18000,"판매지수 292,623",2025-03-01,2025,3
159,김재우의 기초 영어회화 100,17010,"판매지수 105,702",2024-12-01,2024,12
160,SQL 자격검정 실전문제,17460,"판매지수 87,918",2023-12-01,2023,12
161,해커스 일본어 첫걸음 히라가나 가타카나 쓰기노트,7200,"판매지수 95,625",2024-06-01,2024,6
162,낭만적 연애와 그 후의 일상,15300,"판매지수 18,684",2016-08-01,2016,8
163,나의 사탄,11700,"판매지수 23,493",2026-04-01,2026,4
164,흔한남매 방방곡곡 한국사 1,15120,"판매지수 98,172",2026-03-01,2026,3
165,세상 대신 샌드백을 때리기로 했습니다,16020,"판매지수 1,140",2026-05-01,2026,5
166,스페이스X 일론 머스크,23400,"판매지수 18,582",2026-04-01,2026,4
167,2026 이유진 국어 화제의 모의고사,18000,"판매지수 52,803",2026-04-01,2026,4
168,2026 문동균 한국사 D-30 문단속 모의고사,14400,"판매지수 68,697",2026-02-01,2026,2
169,어른의 그릇,17100,"판매지수 31,824",2026-02-01,2026,2
170,절창 切創,16200,"판매지수 274,782",2025-09-01,2025,9
171,기억 전달자,14400,"판매지수 74,514",2024-03-01,2024,3
172,내 식탁 위의 개,16200,"판매지수 14,316",2023-12-01,2023,12
173,초판본 어린왕자,2700,"판매지수 83,223",2021-10-01,2021,10
174,라오어의 미국주식 무한매수법,14400,"판매지수 53,586",2021-06-01,2021,6
175,불안,16200,"판매지수 58,773",2011-12-01,2011,12
176,위대한 개츠비,8100,"판매지수 46,992",2003-05-01,2003,5
177,[예스리커버] 미술관에 간 할미,18900,"판매지수 112,935",2025-06-01,2025,6
178,1학년 한글 떼기,12600,"판매지수 69,669",2024-03-01,2024,3
179,오가미 츠미키와 기일상 6,5400,"판매지수 6,720",2026-05-01,2026,5
180,코스피 1만 투자 지도,19800,"판매지수 10,113",2026-05-01,2026,5
181,가르쳐줘 집사 1,6300,"판매지수 26,724",2026-04-01,2026,4
182,"AI 버블, 반도체 실전 투자법",36000,"판매지수 44,928",2026-05-01,2026,5
183,읽으면서 바로 써먹는 어린이 낱말 퍼즐,11700,"판매지수 32,754",2026-04-01,2026,4
184,해파리 만개,15120,"판매지수 40,098",2026-04-01,2026,4
185,한자어 천재라면,13950,"판매지수 54,480",2026-03-01,2026,3
186,내 심장을 쏴라,16200,"판매지수 48,876",2026-02-01,2026,2
187,어느 날 문이 사라졌다,12150,"판매지수 31,119",2025-02-01,2025,2
188,이중 하나는 거짓말,14400,"판매지수 56,163",2024-08-01,2024,8
189,하루 한 장 나의 어휘력을 위한 필사 노트,21420,"판매지수 208,011",2024-10-01,2024,10
190,나미야 잡화점의 기적,16920,"판매지수 47,607",2022-12-01,2022,12
191,죽이고 싶은 아이,11250,"판매지수 79,197",2021-06-01,2021,6
192,순례 주택,13500,"판매지수 111,819",2021-03-01,2021,3
193,우리는 언제나 다시 만나,10800,"판매지수 214,203",2017-07-01,2017,7
194,사피엔스,24120,"판매지수 128,295",2015-11-01,2015,11
195,정의란 무엇인가,16200,"판매지수 72,882",2014-11-01,2014,11
196,키미가시네 ─다수결 데스게임─ SIDE 죠,9000,판매지수 990,2026-05-01,2026,5
197,인 메모리엄,18900,"판매지수 1,200",2026-05-01,2026,5
198,2026 김헌경 간호관리 실전 모의고사 푸러다,10800,"판매지수 4,440",2026-05-01,2026,5
199,2026 김헌경 지역사회간호 실전 모의고사 푸러다,10800,"판매지수 4,740",2026-05-01,2026,5
200,GACHIAKUTA 17,5400,"판매지수 7,560",2026-05-01,2026,5
201,"팀 켈러, 죄를 말하다",16200,"판매지수 13,362",2026-04-01,2026,4
202,내 인생의 배경지식 한 권 교양,23850,"판매지수 19,647",2026-04-01,2026,4
203,[RBTI] SEDI 크리에이터 공백과 함께 우주로 떠나요,0,"판매지수 7,524",2026-04-01,2026,4
204,우리들의 수사를 시작하겠습니다,13500,"판매지수 22,641",2026-04-01,2026,4
205,꼬랑지네 떡집,11700,"판매지수 38,646",2026-04-01,2026,4
206,2026 고종훈 한국사 지방직대비 동형모의고사,15300,"판매지수 28,692",2026-03-01,2026,3
207,사랑이 있으니 살아집디다,16200,"판매지수 129,567",2026-03-01,2026,3
208,도시는 무엇으로 사는가,18000,"판매지수 25,905",2026-03-01,2026,3
209,연민에 관하여,18000,"판매지수 19,317",2026-03-01,2026,3
210,처음 읽는 그리스 로마 신화 14,15120,"판매지수 64,194",2026-03-01,2026,3
211,2026 한 권으로 끝내는 시나공 컴활 2급 필기+실기 (컴퓨터활용능력 2급),24300,"판매지수 74,439",2025-10-01,2025,10
212,뇌가 멈추기 전에,17910,"판매지수 73,995",2025-07-01,2025,7
213,제철 행복,16020,"판매지수 89,385",2024-04-01,2024,4
214,채식주의자,15300,"판매지수 136,185",2022-03-01,2022,3
215,브로콜리지만 사랑받고 싶어,13500,"판매지수 51,171",2021-12-01,2021,12
216,사랑의 기술,15300,"판매지수 86,007",2019-09-01,2019,9
217,명상록,10800,"판매지수 55,698",2018-04-01,2018,4
218,달리기를 말할 때 내가 하고 싶은 이야기,13050,"판매지수 123,840",2009-01-01,2009,1
219,강물이 멈춘 날,19800,"판매지수 4,236",2026-04-01,2026,4
220,무지개 목욕탕,13500,"판매지수 41,559",2026-03-01,2026,3
221,애태울 정도의 사랑을 알아라 2,6300,"판매지수 12,450",2026-05-01,2026,5
222,아픔의 문장들,15300,"판매지수 10,098",2026-05-01,2026,5
223,2026 이동기 영어 실전동형 모의고사 Vol.2,13500,"판매지수 44,787",2026-04-01,2026,4
224,렛뎀 이론,18000,"판매지수 199,872",2025-08-01,2025,8
225,류수영의 평생 레시피,22500,"판매지수 347,373",2025-06-01,2025,6
226,초판본 하늘과 바람과 별과 시,2700,"판매지수 113,769",2024-12-01,2024,12
227,비눗방울 퐁,13500,"판매지수 17,784",2024-11-01,2024,11
228,"돈, 뜨겁게 사랑하고 차갑게 다루어라",13500,"판매지수 39,108",2023-09-01,2023,9
229,전설로 떠나는 월가의 영웅,23400,"판매지수 68,988",2021-07-01,2021,7
230,아주 특별한 우리 형,11700,"판매지수 20,460",2018-09-01,2018,9
231,참을 수 없는 존재의 가벼움,15300,"판매지수 79,134",2018-06-01,2018,6
232,삐뽀삐뽀 119 이유식,17010,"판매지수 83,586",2017-12-01,2017,12
233,나는 3학년 2반 7번 애벌레,9900,"판매지수 93,627",2016-03-01,2016,3
234,인간을 인간답게 만드는 불완전함에 대하여,19800,"판매지수 9,834",2026-05-01,2026,5
235,더 화이팅 145,5400,"판매지수 1,590",2026-05-01,2026,5
236,봄의 폭풍과 몬스터 8,5400,"판매지수 16,530",2026-05-01,2026,5
237,흔한남매 이상한 나라의 고전 읽기 9,15120,"판매지수 8,871",2026-05-01,2026,5
238,비밀의 종이 울리면,12420,"판매지수 24,633",2026-03-01,2026,3
239,질문으로 똑똑해지는 초등 지식 백과,15300,"판매지수 28,089",2026-03-01,2026,3
240,주식으로 부자됩시다,18000,"판매지수 38,916",2026-04-01,2026,4
241,하나님의 막내아들,19800,"판매지수 15,075",2026-03-01,2026,3
242,죽은 왕녀를 위한 파반느 (양장 특별판),18000,"판매지수 110,217",2025-11-01,2025,11
243,대형주 추세추종 투자법칙,19800,"판매지수 161,373",2025-11-01,2025,11
244,조용한 회복,19800,"판매지수 61,359",2025-09-01,2025,9
245,죽이고 싶은 아이 2,12600,"판매지수 65,505",2024-07-01,2024,7
246,최악의 최애,12600,"판매지수 21,000",2024-02-01,2024,2
247,내가 생각한 인생이 아니야,16200,"판매지수 19,962",2023-12-01,2023,12
248,사과는 이렇게 하는 거야,15120,"판매지수 35,343",2023-07-01,2023,7
249,구의 증명,10800,"판매지수 89,457",2023-04-01,2023,4
250,열다섯에 곰이라니,11700,"판매지수 49,812",2022-12-01,2022,12
251,라오어의 미국주식 밸류 리밸런싱,16200,"판매지수 42,213",2022-08-01,2022,8
252,몬스터 차일드,12420,"판매지수 68,793",2021-09-01,2021,9
253,홍학의 자리 (금기 에디션),12600,"판매지수 104,250",2026-03-01,2026,3
254,내 이름은 빨강 1,11700,"판매지수 35,619",2019-10-01,2019,10
255,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),10350,"판매지수 150,864",2019-10-01,2019,10
256,아주 작은 습관의 힘 (50만 부 기념 스페셜 에디션),16200,"판매지수 118,209",2019-02-01,2019,2
257,노르웨이의 숲,15300,"판매지수 88,947",2017-08-01,2017,8
258,스토너,15120,"판매지수 148,374",2015-01-01,2015,1
259,어둠의 색조 1,17100,"판매지수 8,478",2026-04-01,2026,4
260,물고기는 존재하지 않는다,15300,"판매지수 65,406",2021-12-01,2021,12
261,해리엇,12150,"판매지수 50,955",2011-06-01,2011,6
262,코믹 블루록 35,5400,"판매지수 11,280",2026-05-01,2026,5
263,초등 상위 1%를 만드는 위대한 고전 맛보기 : 과학·철학·종교,12600,"판매지수 4,020",2026-05-01,2026,5
264,던전에서 만남을 추구하면 안 되는 걸까 21 소책자 특장판,18000,"판매지수 12,990",2026-05-01,2026,5
265,삶이 허기질 때 나는 교양을 읽는다,36000,"판매지수 17,982",2026-05-01,2026,5
266,비스킷 (10만 부 기념 바스락 에디션),14220,"판매지수 4,980",2026-04-01,2026,4
267,착한 염증 나쁜 염증,18900,"판매지수 11,256",2026-04-01,2026,4
268,다시 오고 싶은 나라,17100,"판매지수 16,059",2026-05-01,2026,5
269,시간 고양이 8,13500,"판매지수 20,640",2026-04-01,2026,4
270,"2026 권규호 공무원 국어 긴급특강[논리, 강화약화, 고난도 독해]",9900,"판매지수 23,154",2026-04-01,2026,4
271,끝까지 해내는 마음은 어떻게 탄생하는가,17910,"판매지수 36,603",2026-04-01,2026,4
272,2026 황철곤 행정학 실전동형 모의고사 SEASON 2,14400,"판매지수 27,852",2026-04-01,2026,4
273,2026 해커스공무원 실전동형모의고사 한국사 2 16회분 (지방직 9급),17100,"판매지수 13,353",2026-04-01,2026,4
274,반도체 밸류체인 투자,25200,"판매지수 20,424",2026-03-01,2026,3
275,ETS 토익 단기공략 750+ (LC+RC),17550,"판매지수 135,504",2025-07-01,2025,7
276,경험의 멸종,17820,"판매지수 131,391",2025-05-01,2025,5
277,불량한 자전거 여행,12420,"판매지수 65,913",2024-12-01,2024,12
278,처음 읽는 삼국지 1,13950,"판매지수 49,047",2024-11-01,2024,11
279,침묵의 봄,19800,"판매지수 36,639",2024-04-01,2024,4
280,마흔에 읽는 쇼펜하우어 (300쇄 리커버),15300,"판매지수 85,686",2023-09-01,2023,9
281,아몬드,15120,"판매지수 38,505",2023-07-01,2023,7
282,해커스 토익 RC Reading(리딩) 기본서,16920,"판매지수 136,278",2024-08-01,2024,8
283,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",12600,"판매지수 98,664",2021-06-01,2021,6
284,잘했고 잘하고 있고 잘 될 것이다 (아마존 베스트셀러 기념 전면 개정판),16200,"판매지수 54,993",2022-10-01,2022,10
285,수학이 필요한 순간,16020,"판매지수 18,408",2018-08-01,2018,8
286,원칙 PRINCIPLES,31500,"판매지수 23,850",2018-06-01,2018,6
287,생각에 관한 생각,26820,"판매지수 66,036",2018-03-01,2018,3
288,세계를 건너 너에게 갈게,12150,"판매지수 90,009",2018-02-01,2018,2
289,동음이의어 말싸움,13500,"판매지수 7,380",2026-04-01,2026,4
290,너를 너무너무너무너무 좋아하는 100명의 그녀 23,5400,"판매지수 1,800",2026-05-01,2026,5
291,2027 써니 행정법총론 행정법으로의 초대,4500,"판매지수 3,510",2026-05-01,2026,5
292,아홉 살에 시작하는 똑똑한 초등신문 4,17550,"판매지수 15,606",2026-05-01,2026,5
293,폰더 씨의 위대한 하루,16200,"판매지수 25,758",2026-04-01,2026,4
294,AI가 나보다 일을 잘할 때,11700,"판매지수 11,676",2026-03-01,2026,3
295,피터케이의 이기는 투자 불변의 법칙,19800,"판매지수 83,775",2026-04-01,2026,4
296,초등 상위 1%를 만드는 위대한 고전 맛보기 : 세계 문학,12600,"판매지수 26,271",2026-03-01,2026,3
297,모든 날들이 행복했으면 좋겠어,16920,"판매지수 18,417",2026-03-01,2026,3
298,몬스터 캠핑장,12600,"판매지수 33,306",2026-01-01,2026,1
299,명료함,17820,"판매지수 36,786",2026-02-01,2026,2
300,할매,15120,"판매지수 137,736",2025-12-01,2025,12
301,내가 없던 어느 밤에,12600,"판매지수 78,711",2025-08-01,2025,8
302,"AI 시대의 질문력, 프롬프트 엔지니어링",24300,"판매지수 67,575",2025-08-01,2025,8
303,편안함의 습격,19800,"판매지수 214,098",2025-06-01,2025,6
304,한 권으로 끝내는 해커스 토익 800+ (LC+RC+VOCA),15930,"판매지수 67,809",2025-05-01,2025,5
305,시간 유전자,11700,"판매지수 39,438",2024-10-01,2024,10
306,착! 붙는 중국어 독학 첫걸음,15120,"판매지수 32,223",2024-03-01,2024,3
307,착! 붙는 일본어 독학 첫걸음,15120,"판매지수 75,882",2024-03-01,2024,3
308,용선생 교과서 세계사 2,14400,"판매지수 52,932",2023-12-01,2023,12
309,비스킷,13320,"판매지수 58,062",2023-09-01,2023,9
310,왜 나는 너를 사랑하는가,12600,"판매지수 40,902",2022-11-01,2022,11
311,차대기를 찾습니다,11700,"판매지수 16,860",2021-06-01,2021,6
312,초판본 데미안,2690,"판매지수 88,359",2020-08-01,2020,8
313,여름,10800,"판매지수 36,393",2020-08-01,2020,8
314,내 이름은 빨강 2,11700,"판매지수 30,693",2019-10-01,2019,10
315,빨강 연필,13500,"판매지수 21,000",2011-05-01,2011,5
316,달과 6펜스,9000,"판매지수 51,087",2000-06-01,2000,6
317,어둠의 색조 2,16200,"판매지수 6,648",2026-04-01,2026,4
318,어느 멋진 도망,15300,"판매지수 12,168",2026-04-01,2026,4
319,바쁜 교사를 위한 바로 쓰는 AI,21600,"판매지수 16,137",2026-04-01,2026,4
320,클로드 코드로 시작하는 실전 에이전틱 코딩,29700,"판매지수 6,030",2026-05-01,2026,5
321,2026 이진욱 세무사의 국세청 세무직 공무원 실무면접 가이드 : 국세편,16200,"판매지수 2,580",2026-05-01,2026,5
322,길고양이와 늑대 6,5400,"판매지수 10,560",2026-05-01,2026,5
323,코믹 전생했더니 슬라임이었던 건에 대하여 30,6300,"판매지수 6,630",2026-05-01,2026,5
324,2027 선재국어 시간 단축 공문서와 문법 독해,12600,"판매지수 2,184",2026-05-01,2026,5
325,다있소 과학 2,13050,"판매지수 4,242",2026-05-01,2026,5
326,2027 김영북스 공부돼지 벼락치기 한능검 한국사능력검정시험 심화(1·2·3급),26100,"판매지수 2,964",2026-05-01,2026,5
327,2027 이유진 국어 독해 알고리즘 기출 분석,17100,"판매지수 4,290",2026-05-01,2026,5
328,"사랑하라, 거짓된 천사들이여 6",5400,"판매지수 24,744",2026-04-01,2026,4
329,2027 소방직 시험대비 SO NICE 백소나 소방학개론 기본서,38700,"판매지수 27,474",2026-04-01,2026,4
330,자연은 왜 이토록 단순하면서도 아름다운가,31500,"판매지수 8,856",2026-04-01,2026,4
331,2026 황철곤 행정학 파이널 봉투 모의고사,11700,"판매지수 20,391",2026-04-01,2026,4
332,행동이 실력이다,16200,"판매지수 16,758",2026-03-01,2026,3
333,2026 김중규 지방·서울9급 동형모의고사 선행정학,15300,"판매지수 19,578",2026-03-01,2026,3
334,평범한 아이들은 어떻게 최상위권이 되었을까,17550,"판매지수 37,806",2026-04-01,2026,4
335,"인테리어, 호구 안 당하는 체크리스트",24750,"판매지수 11,022",2026-03-01,2026,3
336,2026 심우철 실전 동형 모의고사 Season 2,13500,"판매지수 66,753",2026-02-01,2026,2
337,2026 써니 행정법총론 실전동형 모의고사,14400,"판매지수 56,694",2026-02-01,2026,2
338,규칙파괴자,22500,"판매지수 47,037",2026-01-01,2026,1
339,처음 읽는 삼국지 3,13950,"판매지수 52,200",2025-12-01,2025,12
340,해커스 Updated 토플 라이팅 (Hackers Updated TOEFL WRITING),25200,"판매지수 40,374",2025-11-01,2025,11
341,해커스 Updated 토플 스피킹 (Hackers Updated TOEFL SPEAKING),25200,"판매지수 37,860",2025-11-01,2025,11
342,처음부터 끝까지 고백,15120,"판매지수 45,732",2025-10-01,2025,10
343,ETF 투자의 모든 것,18900,"판매지수 151,635",2025-08-01,2025,8
344,5일 완성 토익스피킹 실전 모의고사 25회,23400,"판매지수 35,460",2025-07-01,2025,7
345,처음 읽는 삼국지 2,13950,"판매지수 50,160",2025-04-01,2025,4
346,해커스 JLPT N3(일본어능력시험) 한권합격,24300,"판매지수 63,249",2025-01-01,2025,1
347,퓨처 셀프 30만 부 기념 스페셜 에디션,19800,"판매지수 96,603",2024-09-01,2024,9
348,0000,11700,"판매지수 26,922",2024-08-01,2024,8
349,지도로 보아야 보인다,26820,"판매지수 29,685",2024-07-01,2024,7
350,0~3세 기적의 뇌과학 육아,18000,"판매지수 38,655",2024-07-01,2024,7
351,모모 MOMO,19800,"판매지수 48,843",2024-03-01,2024,3
352,알사탕,13500,"판매지수 59,238",2024-03-01,2024,3
353,용선생 교과서 세계사 1,14400,"판매지수 58,272",2023-12-01,2023,12
354,샤워젤과 소다수,10800,"판매지수 38,481",2023-10-01,2023,10
355,넛지: 파이널 에디션,19800,"판매지수 37,470",2022-06-01,2022,6
356,어디 있을까? 숨은그림찾기 1000,7920,"판매지수 67,209",2022-05-01,2022,5
357,나는 나로 살기로 했다 (영미권 출간기념 특별판),15750,"판매지수 33,576",2022-02-01,2022,2
358,한 권으로 끝내는 해커스 토익 700+ (LC+RC+VOCA),17820,"판매지수 69,927",2025-01-01,2025,1
359,백년허리2 치료편,16650,"판매지수 63,858",2021-05-01,2021,5
360,천 개의 파랑,15300,"판매지수 78,633",2020-08-01,2020,8
361,우리가 빛의 속도로 갈 수 없다면,15300,"판매지수 55,077",2019-06-01,2019,6
362,페인트,13500,"판매지수 47,760",2019-04-01,2019,4
363,지리의 힘,18000,"판매지수 34,569",2016-08-01,2016,8
364,푸른 사자 와니니,12420,"판매지수 65,718",2015-06-01,2015,6
365,오월의 달리기,10800,"판매지수 32,886",2013-05-01,2013,5
366,노인과 바다,7200,"판매지수 56,490",2012-01-01,2012,1
367,틀려도 괜찮아,12600,"판매지수 39,060",2006-02-01,2006,2
368,은하수를 여행하는 히치하이커를 위한 안내서 1,12600,"판매지수 43,074",2004-12-01,2004,12
369,변신 시골의사,7650,"판매지수 24,816",1998-08-01,1998,8
370,포닝,21420,"판매지수 6,078",2026-05-01,2026,5
371,내 마음의 구멍,16200,"판매지수 13,329",2026-01-01,2026,1
372,언젠가 우리가 같은 별을 바라본다면,10800,"판매지수 41,265",2021-12-01,2021,12
373,풀꽃선생님의 뻔한 표현 탈출 사전,15120,판매지수 600,2026-05-01,2026,5
374,ALL NEW 계리직 영어 바이블 Ver.4,27000,판매지수 900,2026-05-01,2026,5
375,시든 꽃에 눈물을 5~6 스페셜 세트,71100,"판매지수 2,040",2026-05-01,2026,5
376,얼마나 발칙해도 될까,15300,"판매지수 7,320",2026-05-01,2026,5
377,네가 어떤 삶을 살든 나는 너를 응원할 것이다 1,17100,"판매지수 2,538",2026-05-01,2026,5
378,비밀의 책,16920,"판매지수 8,244",2026-04-01,2026,4
379,코바늘 시크릿 노트,18000,"판매지수 2,784",2026-04-01,2026,4
380,초등 국어가 실력입니다,17100,"판매지수 8,673",2026-04-01,2026,4
381,천재 의사 시건방 5,12600,"판매지수 4,458",2026-05-01,2026,5
382,불량한 자전거 여행 5,12420,"판매지수 11,601",2026-04-01,2026,4
383,세상에서 가장 좋은 문장 필사,19800,"판매지수 14,385",2026-04-01,2026,4
384,굿트레이더 압도적 수익의 주식투자법,22500,"판매지수 25,560",2026-05-01,2026,5
385,여전히 주도주를 사라,20700,"판매지수 19,677",2026-04-01,2026,4
386,클로드 코드 마스터,32400,"판매지수 15,132",2026-04-01,2026,4
387,2026 해커스공무원 실전동형모의고사 영어 2 12회분 (지방직 9급),17100,"판매지수 24,096",2026-04-01,2026,4
388,2026 해커스공무원 실전동형모의고사 국어 2 (지방직 9급),19800,"판매지수 14,325",2026-04-01,2026,4
389,지도로 보아야 보인다 2,27900,"판매지수 11,829",2026-04-01,2026,4
390,다크 심리학 2,21780,"판매지수 25,107",2026-04-01,2026,4
391,한눈에 보는 AI 반도체 산업,23400,"판매지수 8,754",2026-03-01,2026,3
392,"클로드 코워크 with 스킬, 플러그인",23400,"판매지수 18,849",2026-03-01,2026,3
393,정승제의 수학 대모험 2,14400,"판매지수 24,129",2026-03-01,2026,3
394,"1,000만 원으로 3년 안에 300만 원 월배당 만들기",20700,"판매지수 59,466",2026-02-01,2026,2
395,2026 선재국어 결승선 봉투 모의고사,25200,"판매지수 69,708",2026-01-01,2026,1
396,캔들차트 하나로 끝내는 추세추종 투자,22500,"판매지수 99,945",2026-01-01,2026,1
397,캘리쌤의 루틴 잉글리시,19800,"판매지수 28,227",2025-12-01,2025,12
398,2026 위포트 공기업 NCS 통합기본서 (PSAT형+모듈형+피듈형+실전 모의고사),24300,"판매지수 44,745",2026-02-01,2026,2
399,정승제의 수학 대모험 1,14400,"판매지수 45,975",2025-11-01,2025,11
400,2026 알기사 정보보안기사(산업기사) 필기+핵심기출 1200제,45000,"판매지수 17,358",2025-10-01,2025,10
401,기분이 태도가 되지 않게 (헬로키티 에디션),16200,"판매지수 118,053",2025-11-01,2025,11
402,별빛관 비밀 친구,13500,"판매지수 15,633",2025-09-01,2025,9
403,신상문구점,12600,"판매지수 50,946",2025-09-01,2025,9
404,임신 출산 육아 대백과 최신개정판,17550,"판매지수 69,222",2025-07-01,2025,7
405,"2025·2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 기본(4,5,6급)",17550,"판매지수 84,846",2024-12-01,2024,12
406,컬러 몬스터 : 감정의 구급상자,13500,"판매지수 16,485",2024-03-01,2024,3
407,해커스 토익 LC Listening(리스닝) 기본서,16920,"판매지수 116,613",2024-08-01,2024,8
408,부의 인문학 (20만부 기념 개정증보판),15300,"판매지수 55,650",2022-03-01,2022,3
409,진짜 쓰는 실무 엑셀,18900,"판매지수 73,107",2022-02-01,2022,2
410,안녕! 내 친구 코야,25650,"판매지수 46,449",2021-08-01,2021,8
411,데일 카네기 자기관리론,10350,"판매지수 75,501",2021-01-01,2021,1
412,백년운동,17550,"판매지수 37,932",2019-11-01,2019,11
413,체리새우 : 비밀글입니다,12150,"판매지수 66,315",2019-01-01,2019,1
414,당신이 옳다,15750,"판매지수 24,369",2018-10-01,2018,10
415,자유론,7920,"판매지수 53,334",2018-06-01,2018,6
416,삐뽀삐뽀 119 소아과,26820,"판매지수 41,589",2016-07-01,2016,7
417,돼지책,9900,"판매지수 23,400",2001-10-01,2001,10
418,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인",25200,"판매지수 2,880",2026-05-01,2026,5
419,잘 자고 잘 먹는 아기의 시간표,19800,"판매지수 15,891",2026-05-01,2026,5
420,고래밥 탐험대 : 진짜 보물을 찾아서,13500,"판매지수 12,051",2026-04-01,2026,4
421,1929,28800,"판매지수 29,460",2026-04-01,2026,4
422,참 쉬운 집밥 요리책,21600,판매지수 600,2026-05-01,2026,5
423,악마에 입문했습니다! 이루마 군 46,5850,"판매지수 6,060",2026-05-01,2026,5
424,2026 오정화 세법 - 지방세법 이거다1(기출·응용 문제편),28500,"판매지수 16,410",2026-05-01,2026,5
425,엄마를 만나러 가는 길 : 모리의 스티커북,15300,"판매지수 14,895",2026-06-01,2026,6
426,보험꼰대의 쓸만한 JOB소리,15300,"판매지수 1,164",2026-04-01,2026,4
427,연금 투자 무작정 따라하기,21600,"판매지수 9,765",2026-05-01,2026,5
428,운명을 바꾸는 감정의 비밀,17820,"판매지수 8,292",2026-04-01,2026,4
429,맥체인 수업,28800,"판매지수 13,326",2026-05-01,2026,5
430,미지와 무지,12600,"판매지수 8,496",2026-04-01,2026,4
431,흉담,15300,"판매지수 14,754",2026-04-01,2026,4
432,숨은 어린이 찾기,15120,"판매지수 12,915",2026-04-01,2026,4
433,반우울,15300,"판매지수 12,753",2026-04-01,2026,4
434,2026 고시넷 지역농협 6급 NCS 오픈봉투모의고사,23400,"판매지수 22,350",2026-04-01,2026,4
435,비실비실 선생님 12,5850,"판매지수 19,107",2026-04-01,2026,4
436,학교에서 바로 쓰는 제미나이 & 노트북LM,17100,"판매지수 11,211",2026-04-01,2026,4
437,생각이 보이는 교실 2,20000,"판매지수 13,743",2026-03-01,2026,3
438,2026 박문각 공무원 강성빈 행정법총론 FINAL 적중모의고사(지방직),17100,"판매지수 7,170",2026-04-01,2026,4
439,JLPT(일본어능력시험) 한권으로 끝내기 N3,25200,"판매지수 20,775",2026-04-01,2026,4
440,다시 하면 되지 뭐,13500,"판매지수 15,441",2026-04-01,2026,4
441,돈 주운 자의 최후,12600,"판매지수 13,926",2026-03-01,2026,3
442,가족이라는 사치,15120,"판매지수 7,047",2026-03-01,2026,3
443,라면 사면 과학 드립니다,13500,"판매지수 30,282",2026-04-01,2026,4
444,감정에 이름 붙이기,16200,"판매지수 11,949",2026-04-01,2026,4
445,삶으로 다시 날아오르기,16200,"판매지수 35,958",2026-03-01,2026,3
446,설민석의 삼국지 대모험 26,12600,"판매지수 15,114",2026-03-01,2026,3
447,2026 해커스공무원 FINAL 봉투모의고사 국어+영어+한국사 6회분 (9급 공무원),17100,"판매지수 9,972",2026-03-01,2026,3
448,2026 유휘운 행정법총론 실전동형 모의고사,9900,"판매지수 31,128",2026-02-01,2026,2
449,존리의 부자되기 습관,18000,"판매지수 49,212",2026-02-01,2026,2
450,일본 광고 카피 도감,16920,"판매지수 37,770",2026-01-01,2026,1
451,2026 단기 합격 해커스공기업 NCS 통합 기본서(모듈형+피듈형+PSAT형+모의고사 6회분),24300,"판매지수 40,434",2026-01-01,2026,1
